Treatment,Species,Light_Level,Replicate,Experimental_Day,Cells,Growth_Rate,P_values
CP,Colp,100,B,90,2,,
CP,Colp,100,C,90,0,,
CP,Colp,200,A,90,0,,
CP,Colp,200,B,90,35,,
CP,Colp,200,C,90,0,,
PC,P bur,100,A,0,55,,
PC,P bur,100,B,0,46,,
PC,P bur,100,C,0,47,,
CP,Colp,0,A,0,61,,
CP,Colp,0,B,0,71,,
CP,Colp,0,C,0,95,,
PC,P bur,100,A,3,60,,
PC,P bur,100,B,3,42,,
PC,P bur,100,C,3,77,,
CP,Colp,0,A,3,790,,
CP,Colp,0,B,3,865,,
CP,Colp,0,C,3,725,,
PC,P bur,100,A,5,72,,
PC,P bur,100,B,5,78,,
PC,P bur,100,C,5,100,,
CP,Colp,0,A,5,1330,,
CP,Colp,0,B,5,1360,,
CP,Colp,0,C,5,1340,,
CP,Colp,0,A,6,1400,,
CP,Colp,0,B,6,1260,,
CP,Colp,0,C,6,1020,,
CP,P bur,0,A,6,34,,
CP,P bur,0,B,6,46,,
CP,P bur,0,C,6,59,,
PC,P bur,100,A,7,72,,
PC,P bur,100,B,7,78,,
PC,P bur,100,C,7,100,,
CP,Colp,0,A,8,1260,,
CP,Colp,0,B,8,1470,,
CP,Colp,0,C,8,1300,,
CP,P bur,0,A,8,33,,
CP,P bur,0,B,8,39,,
CP,P bur,0,C,8,33,,
PC,P bur,100,A,10,158,,
PC,P bur,100,B,10,210,,
PC,P bur,100,C,10,170,,
CP,Colp,0,A,11,1620,,
CP,Colp,0,B,11,1870,,
CP,Colp,0,C,11,1430,,
CP,P bur,0,A,11,23,,
CP,P bur,0,B,11,30,,
CP,P bur,0,C,11,36,,
PC,P bur,100,A,12,230,,
PC,P bur,100,B,12,208,,
PC,P bur,100,C,12,240,,
CP,Colp,0,A,13,1487.5,,
CP,Colp,0,B,13,1775,,
CP,Colp,0,C,13,1575,,
CP,P bur,0,A,13,15,,
CP,P bur,0,B,13,14,,
CP,P bur,0,C,13,23,,
PC,P bur,100,A,14,274,,
PC,P bur,100,B,14,228,,
PC,P bur,100,C,14,328,,
PC,Colp,100,A,14,40,,
PC,Colp,100,B,14,26,,
PC,Colp,100,C,14,20,,
CP,Colp,0,A,15,1587.5,,
CP,Colp,0,B,15,1662.5,,
CP,Colp,0,C,15,1700,,
CP,P bur,0,A,15,6,,
CP,P bur,0,B,15,6,,
CP,P bur,0,C,15,6,,
PC,P bur,100,A,17,412,,
PC,P bur,100,B,17,162,,
PC,P bur,100,C,17,182,,
PC,Colp,100,A,17,505,,
PC,Colp,100,B,17,615,,
PC,Colp,100,C,17,490,,
CP,Colp,0,A,18,1475,,
CP,Colp,0,B,18,1637.5,,
CP,Colp,0,C,18,2025,,
CP,P bur,0,A,18,0,,
CP,P bur,0,B,18,0,,
CP,P bur,0,C,18,0,,
PC,P bur,100,A,19,455,,
PC,P bur,100,B,19,450,,
PC,P bur,100,C,19,740,,
PC,Colp,100,A,19,1420,,
PC,Colp,100,B,19,1440,,
PC,Colp,100,C,19,1830,,
CP,Colp,0,A,20,1775,,
CP,Colp,0,B,20,1762.5,,
CP,Colp,0,C,20,2300,,
CP,P bur,0,A,20,0,,
CP,P bur,0,B,20,0,,
CP,P bur,0,C,20,0,,
PC,P bur,100,A,21,495,,
PC,P bur,100,B,21,500,,
PC,P bur,100,C,21,695,,
PC,Colp,100,A,21,3300,,
PC,Colp,100,B,21,2960,,
PC,Colp,100,C,21,2840,,
CP,Colp,0,A,23,2100,,
CP,Colp,0,B,23,1720,,
CP,Colp,0,C,23,2240,,
CP,P bur,0,A,23,0,,
CP,P bur,0,B,23,0,,
CP,P bur,0,C,23,0,,
PC,P bur,100,A,23,610,,
PC,P bur,100,B,23,575,,
PC,P bur,100,C,23,680,,
PC,Colp,100,A,23,2840,,
PC,Colp,100,B,23,3140,,
PC,Colp,100,C,23,3040,,
PC,P bur,100,A,26,765,,
PC,P bur,100,B,26,595,,
PC,P bur,100,C,26,530,,
PC,Colp,100,A,26,3100,,
PC,Colp,100,B,26,3340,,
PC,Colp,100,C,26,2340,,
CP,Colp,0,A,26,1880,,
CP,Colp,0,B,26,2000,,
CP,Colp,0,C,26,3060,,
CP,P bur,0,A,26,0,,
CP,P bur,0,B,26,0,,
CP,P bur,0,C,26,0,,
PC,P bur,100,A,28,525,,
PC,P bur,100,B,28,610,,
PC,P bur,100,C,28,495,,
PC,Colp,100,A,28,3360,,
PC,Colp,100,B,28,3160,,
PC,Colp,100,C,28,3020,,
CP,Colp,0,A,28,2280,,
CP,Colp,0,B,28,1980,,
CP,Colp,0,C,28,2800,,
CP,P bur,0,A,28,0,,
CP,P bur,0,B,28,0,,
CP,P bur,0,C,28,0,,
PC,P bur,100,A,32,670,,
PC,P bur,100,B,32,555,,
PC,P bur,100,C,32,360,,
PC,Colp,100,A,32,3060,,
PC,Colp,100,B,32,2460,,
PC,Colp,100,C,32,2560,,
CP,Colp,0,A,32,3220,,
CP,Colp,0,B,32,2860,,
CP,Colp,0,C,32,3380,,
CP,P bur,0,A,32,0,,
CP,P bur,0,B,32,0,,
CP,P bur,0,C,32,0,,
PC,P bur,100,A,34,470,,
PC,P bur,100,B,34,505,,
PC,P bur,100,C,34,295,,
PC,Colp,100,A,34,3900,,
PC,Colp,100,B,34,2680,,
PC,Colp,100,C,34,2960,,
CP,Colp,0,A,34,2980,,
CP,Colp,0,B,34,3020,,
CP,Colp,0,C,34,3500,,
CP,P bur,0,A,34,0,,
CP,P bur,0,B,34,0,,
CP,P bur,0,C,34,0,,
PC,P bur,100,A,37,485,,
PC,P bur,100,B,37,325,,
PC,P bur,100,C,37,215,,
PC,Colp,100,A,37,3520,,
PC,Colp,100,B,37,3100,,
PC,Colp,100,C,37,3180,,
CP,Colp,0,A,37,3220,,
CP,Colp,0,B,37,3380,,
CP,Colp,0,C,37,3700,,
CP,P bur,0,A,37,0,,
CP,P bur,0,B,37,0,,
CP,P bur,0,C,37,0,,
PC,P bur,100,A,41,184,,
PC,P bur,100,B,41,304,,
PC,P bur,100,C,41,144,,
PC,Colp,100,A,41,2400,,
PC,Colp,100,B,41,2760,,
PC,Colp,100,C,41,3300,,
CP,Colp,0,A,41,2960,,
CP,Colp,0,B,41,3620,,
CP,Colp,0,C,41,3680,,
CP,P bur,0,A,41,0,,
CP,P bur,0,B,41,0,,
CP,P bur,0,C,41,0,,
PC,P bur,100,A,46,8,,
PC,P bur,100,B,46,76,,
PC,P bur,100,C,46,40,,
PC,Colp,100,A,46,1060,,
PC,Colp,100,B,46,1850,,
PC,Colp,100,C,46,3000,,
CP,Colp,0,A,46,2860,,
CP,Colp,0,B,46,3900,,
CP,Colp,0,C,46,3680,,
CP,P bur,0,A,46,0,,
CP,P bur,0,B,46,0,,
CP,P bur,0,C,46,0,,
PC,P bur,100,A,48,0,,
PC,P bur,100,B,48,55,,
PC,P bur,100,C,48,20,,
PC,Colp,100,A,48,90,,
PC,Colp,100,B,48,2080,,
PC,Colp,100,C,48,3180,,
CP,Colp,0,A,48,3340,,
CP,Colp,0,B,48,4580,,
CP,Colp,0,C,48,3520,,
CP,P bur,0,A,48,0,,
CP,P bur,0,B,48,0,,
CP,P bur,0,C,48,0,,
PC,P bur,100,A,50,0,,
PC,P bur,100,B,50,20,,
PC,P bur,100,C,50,10,,
PC,Colp,100,A,50,0,,
PC,Colp,100,B,50,1690,,
PC,Colp,100,C,50,2650,,
CP,Colp,0,A,50,2600,,
CP,Colp,0,B,50,4380,,
CP,Colp,0,C,50,3940,,
CP,P bur,0,A,50,0,,
CP,P bur,0,B,50,0,,
CP,P bur,0,C,50,0,,
PC,P bur,100,A,54,0,,
PC,P bur,100,B,54,0,,
PC,P bur,100,C,54,0,,
PC,Colp,100,A,54,0,,
PC,Colp,100,B,54,70,,
PC,Colp,100,C,54,300,,
CP,Colp,0,A,54,1280,,
CP,Colp,0,B,54,4500,,
CP,Colp,0,C,54,1920,,
CP,P bur,0,A,54,0,,
CP,P bur,0,B,54,0,,
CP,P bur,0,C,54,0,,
PC,P bur,100,A,59,0,,
PC,P bur,100,B,59,0,,
PC,P bur,100,C,59,0,,
PC,Colp,100,A,59,0,,
PC,Colp,100,B,59,5,,
PC,Colp,100,C,59,0,,
CP,Colp,0,A,59,360,,
CP,Colp,0,B,59,3680,,
CP,Colp,0,C,59,1840,,
CP,P bur,0,A,59,0,,
CP,P bur,0,B,59,0,,
CP,P bur,0,C,59,0,,
Colp,Colp,0,A,0,51,,
Colp,Colp,0,B,0,58,,
Colp,Colp,0,C,0,54,,
Colp,Colp,200,A,0,54,,
Colp,Colp,200,B,0,57,,
Colp,Colp,200,C,0,52,,
Colp,Colp,0,A,2,152.5,,
Colp,Colp,0,B,2,145,,
Colp,Colp,0,C,2,135,,
Colp,Colp,200,A,2,117.5,,
Colp,Colp,200,B,2,70,,
Colp,Colp,200,C,2,115,,
Colp,Colp,0,A,4,675,,
Colp,Colp,0,B,4,705,,
Colp,Colp,0,C,4,540,,
Colp,Colp,200,A,4,370,,
Colp,Colp,200,B,4,445,,
Colp,Colp,200,C,4,960,,
Colp,Colp,0,A,8,1880,,
Colp,Colp,0,B,8,1860,,
Colp,Colp,0,C,8,1600,,
Colp,Colp,200,A,8,1640,,
Colp,Colp,200,B,8,1220,,
Colp,Colp,200,C,8,1260,,
Colp,Colp,0,A,10,1980,,
Colp,Colp,0,B,10,2060,,
Colp,Colp,0,C,10,1940,,
Colp,Colp,200,A,10,1460,,
Colp,Colp,200,B,10,1500,,
Colp,Colp,200,C,10,1580,,
Colp,Colp,0,A,12,1660,,
Colp,Colp,0,B,12,2020,,
Colp,Colp,0,C,12,1800,,
Colp,Colp,200,A,12,1500,,
Colp,Colp,200,B,12,1580,,
Colp,Colp,200,C,12,1280,,
Colp,Colp,0,A,14,1820,,
Colp,Colp,0,B,14,1980,,
Colp,Colp,0,C,14,1740,,
Colp,Colp,200,A,14,1620,,
Colp,Colp,200,B,14,1240,,
Colp,Colp,200,C,14,1220,,
Colp,Colp,50,A,0,50,,
Colp,Colp,50,B,0,59,,
Colp,Colp,50,C,0,58,,
Colp,Colp,100,A,0,62,,
Colp,Colp,100,B,0,60,,
Colp,Colp,100,C,0,65,,
Colp,Colp,0,A,17,2060,,
Colp,Colp,0,B,17,1920,,
Colp,Colp,0,C,17,1240,,
Colp,Colp,200,A,17,1180,,
Colp,Colp,200,B,17,1360,,
Colp,Colp,200,C,17,1640,,
Colp,Colp,50,A,2,192.5,,
Colp,Colp,50,B,2,195,,
Colp,Colp,50,C,2,232.5,,
Colp,Colp,100,A,2,155,,
Colp,Colp,100,B,2,175,,
Colp,Colp,100,C,2,167.5,,
Colp,Colp,0,A,19,1740,,
Colp,Colp,0,B,19,1740,,
Colp,Colp,0,C,19,1340,,
Colp,Colp,200,A,19,1160,,
Colp,Colp,200,B,19,1200,,
Colp,Colp,200,C,19,1280,,
Colp,Colp,50,A,4,1125,,
Colp,Colp,50,B,4,1800,,
Colp,Colp,50,C,4,1735,,
Colp,Colp,100,A,4,1585,,
Colp,Colp,100,B,4,1715,,
Colp,Colp,100,C,4,1565,,
Colp,Colp,0,A,21,1620,,
Colp,Colp,0,B,21,1620,,
Colp,Colp,0,C,21,1440,,
Colp,Colp,200,A,21,900,,
Colp,Colp,200,B,21,1300,,
Colp,Colp,200,C,21,1320,,
Colp,Colp,50,A,6,2360,,
Colp,Colp,50,B,6,2060,,
Colp,Colp,50,C,6,2000,,
Colp,Colp,100,A,6,1880,,
Colp,Colp,100,B,6,1740,,
Colp,Colp,100,C,6,2120,,
Colp,Colp,0,A,24,1680,,
Colp,Colp,0,B,24,1500,,
Colp,Colp,0,C,24,1120,,
Colp,Colp,200,A,24,580,,
Colp,Colp,200,B,24,860,,
Colp,Colp,200,C,24,780,,
Colp,Colp,50,A,9,2740,,
Colp,Colp,50,B,9,2480,,
Colp,Colp,50,C,9,2240,,
Colp,Colp,100,A,9,2000,,
Colp,Colp,100,B,9,1500,,
Colp,Colp,100,C,9,1860,,
Colp,Colp,0,A,28,1100,,
Colp,Colp,0,B,28,840,,
Colp,Colp,0,C,28,860,,
Colp,Colp,200,A,28,35,,
Colp,Colp,200,B,28,240,,
Colp,Colp,200,C,28,110,,
Colp,Colp,50,A,13,2100,,
Colp,Colp,50,B,13,2200,,
Colp,Colp,50,C,13,2220,,
Colp,Colp,100,A,13,1800,,
Colp,Colp,100,B,13,2240,,
Colp,Colp,100,C,13,1620,,
Colp,Colp,0,A,32,520,,
Colp,Colp,0,B,32,380,,
Colp,Colp,0,C,32,285,,
Colp,Colp,200,A,32,8.333333333,,
Colp,Colp,200,B,32,130,,
Colp,Colp,200,C,32,26.66666667,,
Colp,Colp,50,A,17,3060,,
Colp,Colp,50,B,17,2200,,
Colp,Colp,50,C,17,1960,,
Colp,Colp,100,A,17,1700,,
Colp,Colp,100,B,17,1860,,
Colp,Colp,100,C,17,2220,,
Colp,Colp,0,A,37,7,,
Colp,Colp,0,B,37,104,,
Colp,Colp,0,C,37,6,,
Colp,Colp,200,A,37,87.5,,
Colp,Colp,200,B,37,130,,
Colp,Colp,200,C,37,30,,
Colp,Colp,50,A,22,2320,,
Colp,Colp,50,B,22,1820,,
Colp,Colp,50,C,22,2300,,
Colp,Colp,100,A,22,1800,,
Colp,Colp,100,B,22,1640,,
Colp,Colp,100,C,22,1900,,
Colp,Colp,0,A,41,38,,
Colp,Colp,0,B,41,72,,
Colp,Colp,0,C,41,56,,
Colp,Colp,200,A,41,6,,
Colp,Colp,200,B,41,110,,
Colp,Colp,200,C,41,13,,
Colp,Colp,50,A,26,2760,,
Colp,Colp,50,B,26,960,,
Colp,Colp,50,C,26,2340,,
Colp,Colp,0,A,47,55,,
Colp,Colp,0,B,47,50,,
Colp,Colp,0,C,47,40,,
Colp,Colp,200,A,47,5,,
Colp,Colp,200,B,47,175,,
Colp,Colp,200,C,47,5,,
Colp,Colp,50,A,32,1870,,
Colp,Colp,50,B,32,120,,
Colp,Colp,50,C,32,2020,,
Colp,Colp,100,A,32,30,,
Colp,Colp,100,B,32,15,,
Colp,Colp,100,C,32,30,,
Colp,Colp,0,A,49,10,,
Colp,Colp,0,B,49,75,,
Colp,Colp,0,C,49,50,,
Colp,Colp,200,A,49,10,,
Colp,Colp,200,B,49,115,,
Colp,Colp,200,C,49,20,,
Colp,Colp,50,A,34,1360,,
Colp,Colp,50,B,34,10,,
Colp,Colp,50,C,34,1840,,
Colp,Colp,100,A,34,20,,
Colp,Colp,100,B,34,15,,
Colp,Colp,100,C,34,20,,
Colp,Colp,50,A,40,56,,
Colp,Colp,50,B,40,660,,
Colp,Colp,50,C,40,1730,,
Colp,Colp,100,A,40,34,,
Colp,Colp,100,B,40,50,,
Colp,Colp,100,C,40,14,,
Colp,Colp,0,A,60,8,,
Colp,Colp,0,B,60,20,,
Colp,Colp,0,C,60,52,,
Colp,Colp,200,A,60,7,,
Colp,Colp,200,B,60,165,,
Colp,Colp,200,C,60,1,,
Colp,Colp,50,A,46,10,,
Colp,Colp,50,B,46,1480,,
Colp,Colp,50,C,46,1140,,
Colp,Colp,100,A,46,40,,
Colp,Colp,100,B,46,64,,
Colp,Colp,100,C,46,23,,
P bur_v,P bur,0,A,1,58,-0.117722634,
P bur_v,P bur,0,B,4,40,-0.056964883,
P bur_v,P bur,0,C,0,53,-0.046349429,
P bur_v,P bur,50,A,48,855,0.144382435,
P bur_v,P bur,50,B,26,165,0.061814029,
P bur_v,P bur,50,C,37,1335,0.114475353,
P bur_v,P bur,100,A,33,3240,0.148995226,
P bur_v,P bur,100,B,46,4920,0.151741421,
P bur_v,P bur,100,C,37,7380,0.164016667,
P bur_v,P bur,200,A,40,4000,0.174369618,
P bur_v,P bur,200,B,48,7300,0.162470988,
P bur_v,P bur,200,C,51,6280,0.154498074,
CP_v,P bur,0,A,6,34,-0.181859365,-0.234839591
CP_v,P bur,0,B,6,46,-0.217275423,0.139761942
CP_v,P bur,0,C,6,59,-0.206865725,0.017094433
CP_v,P bur,50,A,18,75,0.022716992,-1.686398954
CP_v,P bur,50,B,22,82,0.043034416,-1.465398542
CP_v,P bur,50,C,14,81,0.056708287,-1.810108608
CP_v,P bur,100,A,25,109,0.065583867,-1.948527952
CP_v,P bur,100,B,27,143,0.05760531,-1.450614327
CP_v,P bur,100,C,22,119,0.073600254,-1.827526693
CP_v,P bur,200,A,25,90,0.051631862,-1.85456037
CP_v,P bur,200,B,25,106,0.082878223,-1.520709797
CP_v,P bur,200,C,18,102,0.063498566,-1.867267022
PC_v,P bur,0,A,2,43,-0.059664177,
PC_v,P bur,0,B,2,40,-0.054468379,
PC_v,P bur,0,C,0,58,-0.081693401,
PC_v,P bur,50,A,16,405,0.140102533,
PC_v,P bur,50,B,36,355,0.128403518,
PC_v,P bur,50,C,29,495,0.152581754,
PC_v,P bur,100,A,26,765,0.131254339,
PC_v,P bur,100,B,28,610,0.106512117,
PC_v,P bur,100,C,19,740,0.099737309,
PC_v,P bur,200,A,36,575,0.132447578,
PC_v,P bur,200,B,36,485,0.10744055,
PC_v,P bur,200,C,33,660,0.117752241,
Colp_v,Colp,0,A,17,2060,0.645721765,
Colp_v,Colp,0,B,10,2060,0.624438698,
Colp_v,Colp,0,C,10,1940,0.575646273,
Colp_v,Colp,50,A,9,2740,0.778378827,
Colp_v,Colp,50,B,9,2480,0.854501125,
Colp_v,Colp,50,C,9,2240,0.84957992,
Colp_v,Colp,100,A,9,2000,0.810301325,
Colp_v,Colp,100,B,13,2240,0.838205949,
Colp_v,Colp,100,C,6,2120,0.795313458,
Colp_v,Colp,200,A,8,1640,0.382869093,
Colp_v,Colp,200,B,12,1580,0.513755754,
Colp_v,Colp,200,C,17,1640,0.728922391,
Comp_v,Colp,0,A,10,1500,0.638864298,
Comp_v,Colp,0,B,33,2010,0.638521949,
Comp_v,Colp,0,C,12,1480,0.675708015,
Comp_v,Colp,50,A,10,1512.5,0.633888281,
Comp_v,Colp,50,B,7,1500,0.680065532,
Comp_v,Colp,100,A,7,660,0.39816947,
Comp_v,Colp,100,B,10,860,0.500337285,
Comp_v,Colp,100,C,26,1120,0.49974156,
Comp_v,Colp,200,A,14,300,0.266152198,
Comp_v,Colp,200,B,7,338,0.302447384,
Comp_v,Colp,200,C,7,340,0.283664841,
CP_v,Colp,0,A,48,3340,0.635146884,
CP_v,Colp,0,B,48,4580,0.60968343,
CP_v,Colp,0,C,50,3940,0.541003441,
CP_v,Colp,50,A,52,4000,0.714848958,
CP_v,Colp,50,B,45,5940,0.549306144,
CP_v,Colp,50,C,58,7140,0.728690803,
CP_v,Colp,100,A,22,1430,0.631432161,
CP_v,Colp,100,B,27,1070,0.571444494,
CP_v,Colp,100,C,20,1290,0.575646273,
CP_v,Colp,200,A,27,1370,0.67701255,
CP_v,Colp,200,B,27,1990,0.621226662,
CP_v,Colp,200,C,27,1770,0.710395398,
PC_v,Colp,0,A,54,4860,0.836599831,0.375067631
PC_v,Colp,0,B,54,6160,0.683493242,0.296377779
PC_v,Colp,0,C,47,6020,0.793835821,0.423906536
PC_v,Colp,50,A,33,3160,0.64016116,-0.235722334
PC_v,Colp,50,B,43,7120,0.886903194,0.181198592
PC_v,Colp,50,C,21,4700,0.609801726,-0.418150268
PC_v,Colp,100,A,34,3900,0.724273891,1.003302109
PC_v,Colp,100,B,26,3340,0.822727335,1.138312159
PC_v,Colp,100,C,41,3300,0.916132787,0.93928025
PC_v,Colp,200,A,47,5180,0.77936537,1.329994316
PC_v,Colp,200,B,39,8340,0.881518377,1.432928578
PC_v,Colp,200,C,36,7540,0.851577029,1.449242635